Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, fib, -1, 0.136413574218750000, 0.021606445312500000, 0.000000000000000000, 0.044372558593750000, 17, 25.8, 1664
C, fib, -1, 0.136169433593750000, 0.021362304687500000, 0.000000000000000000, 0.044250488281250000, 17, 25.8, 1620
C, fib, -1, 0.129699707031250000, 0.020690917968750000, 0.000000000000000000, 0.041748046875000000, 17, 25.8, 1624
C, fib, -1, 0.132629394531250000, 0.021240234375000000, 0.000000000000000000, 0.044250488281250000, 17, 25.8, 1652
C, fib, -1, 0.146240234375000000, 0.028015136718750000, 0.000000000000000000, 0.044799804687500000, 17, 25.8, 1660
C, fib, -1, 0.133789062500000000, 0.020935058593750000, 0.000000000000000000, 0.044189453125000000, 17, 25.8, 1620
C, fib, -1, 0.135192871093750000, 0.021362304687500000, 0.000000000000000000, 0.044189453125000000, 17, 25.8, 1740
C, fib, -1, 0.134582519531250000, 0.021423339843750000, 0.000000000000000000, 0.044189453125000000, 17, 25.8, 1640
C, fib, -1, 0.135131835937500000, 0.021789550781250000, 0.000000000000000000, 0.044311523437500000, 17, 25.8, 1636
C, fib, -1, 0.141601562500000000, 0.021667480468750000, 0.000000000000000000, 0.044189453125000000, 17, 25.8, 1676
