Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, fib, -1, 368.508972167968750000, 75.494750976562500000, 0.000549316406250000, 105.995727539062500000, 43361, 28.5, 1672
C, fib, -1, 367.841796875000000000, 75.338623046875000000, 0.000671386718750000, 105.945861816406250000, 43327, 29.5, 1660
C, fib, -1, 418.564331054687500000, 104.407653808593750000, 0.000610351562500000, 111.539916992187500000, 45105, 29.5, 1680
C, fib, -1, 365.002929687500000000, 72.925170898437500000, 0.000549316406250000, 105.644775390625000000, 43300, 29.5, 1608
C, fib, -1, 381.215576171875000000, 77.511108398437500000, 0.000610351562500000, 110.712646484375000000, 44759, 28.8, 1604
C, fib, -1, 325.427185058593750000, 40.171752929687500000, 0.000549316406250000, 105.947082519531250000, 43319, 28.0, 1672
C, fib, -1, 337.479736328125000000, 49.460144042968750000, 0.000610351562500000, 106.697204589843750000, 43461, 28.8, 1596
C, fib, -1, 400.126037597656250000, 95.507385253906250000, 0.000549316406250000, 109.872436523437500000, 44432, 28.5, 1564
C, fib, -1, 372.290649414062500000, 79.803833007812500000, 0.000549316406250000, 106.273803710937500000, 43421, 28.8, 1608
C, fib, -1, 372.731628417968750000, 79.833129882812500000, 0.000610351562500000, 106.317443847656250000, 43471, 29.0, 1516
