Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, fib, -1, 0.065551757812500000, 0.013427734375000000, 0.000000000000000000, 0.020019531250000000, 8, 26.0, 1684
C, fib, -1, 0.073059082031250000, 0.014709472656250000, 0.000000000000000000, 0.022399902343750000, 8, 26.0, 1604
C, fib, -1, 0.072937011718750000, 0.014282226562500000, 0.000000000000000000, 0.022277832031250000, 8, 26.0, 1676
C, fib, -1, 0.074523925781250000, 0.014892578125000000, 0.000000000000000000, 0.022277832031250000, 8, 26.0, 1576
C, fib, -1, 0.073913574218750000, 0.014587402343750000, 0.000000000000000000, 0.022277832031250000, 8, 26.0, 1600
C, fib, -1, 0.074829101562500000, 0.015014648437500000, 0.000000000000000000, 0.022216796875000000, 8, 26.0, 1660
C, fib, -1, 0.072143554687500000, 0.013916015625000000, 0.000000000000000000, 0.022155761718750000, 8, 26.0, 1564
C, fib, -1, 0.073303222656250000, 0.014465332031250000, 0.000000000000000000, 0.019775390625000000, 8, 26.0, 1680
C, fib, -1, 0.072265625000000000, 0.014160156250000000, 0.000000000000000000, 0.019653320312500000, 8, 26.0, 1572
C, fib, -1, 0.066223144531250000, 0.013977050781250000, 0.000000000000000000, 0.019836425781250000, 8, 26.0, 1520
