Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
bash, find, -1, 134.632446289062500000, 58.177001953125000000, 0.000000000000000000, 22.158142089843750000, 9003, 29.8, 0
bash, find, -1, 131.724487304687500000, 56.724243164062500000, 0.000732421875000000, 21.630676269531250000, 8810, 30.8, 0
bash, find, -1, 132.786315917968750000, 57.214965820312500000, 0.000000000000000000, 21.824340820312500000, 8884, 30.5, 0
bash, find, -1, 131.262756347656250000, 56.543090820312500000, 0.000000000000000000, 21.551513671875000000, 8779, 30.5, 0
bash, find, -1, 131.289428710937500000, 56.560424804687500000, 0.000000000000000000, 21.567687988281250000, 8782, 31.8, 0
bash, find, -1, 131.528991699218750000, 56.561462402343750000, 0.000000000000000000, 21.605346679687500000, 8797, 31.5, 0
bash, find, -1, 131.934692382812500000, 56.688537597656250000, 0.000793457031250000, 21.688293457031250000, 8824, 32.2, 0
bash, find, -1, 132.926025390625000000, 57.322143554687500000, 0.000000000000000000, 21.842590332031250000, 8891, 31.8, 0
bash, find, -1, 142.573852539062500000, 62.526489257812500000, 0.000000000000000000, 23.548339843750000000, 9536, 31.5, 0
bash, find, -1, 132.203491210937500000, 56.905578613281250000, 0.000000000000000000, 21.731201171875000000, 8843, 32.2, 0
