Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
bash, find, -1, 37.882934570312500000, 16.663574218750000000, 0.000732421875000000, 6.287109375000000000, 2531, 28.8, 5740
bash, find, -1, 37.900146484375000000, 16.680969238281250000, 0.000000000000000000, 6.295776367187500000, 2536, 29.2, 5740
bash, find, -1, 38.144775390625000000, 16.792053222656250000, 0.000000000000000000, 6.335083007812500000, 2553, 29.2, 5732
bash, find, -1, 38.905639648437500000, 17.005554199218750000, 0.000000000000000000, 6.463928222656250000, 2602, 28.5, 5800
bash, find, -1, 38.744689941406250000, 17.031005859375000000, 0.000000000000000000, 6.444091796875000000, 2591, 29.8, 5860
bash, find, -1, 38.835693359375000000, 17.049255371093750000, 0.000000000000000000, 6.470092773437500000, 2598, 29.5, 5760
bash, find, -1, 38.517700195312500000, 16.855590820312500000, 0.000000000000000000, 6.399719238281250000, 2573, 29.8, 5744
bash, find, -1, 40.212341308593750000, 17.735534667968750000, 0.000000000000000000, 6.738037109375000000, 2692, 30.2, 5824
bash, find, -1, 38.136962890625000000, 16.731506347656250000, 0.000000000000000000, 6.328552246093750000, 2549, 30.2, 5860
bash, find, -1, 39.092346191406250000, 17.085571289062500000, 0.000000000000000000, 6.512695312500000000, 2618, 30.0, 5792
