Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
bash, find, -1, 39.487731933593750000, 17.294250488281250000, 0.000000000000000000, 6.549865722656250000, 2638, 29.2, 0
bash, find, -1, 40.230651855468750000, 17.601745605468750000, 0.000000000000000000, 6.701782226562500000, 2693, 29.8, 0
bash, find, -1, 39.269104003906250000, 17.093566894531250000, 0.000000000000000000, 6.521789550781250000, 2626, 29.8, 0
bash, find, -1, 44.891296386718750000, 20.167907714843750000, 0.000000000000000000, 7.595458984375000000, 3002, 29.5, 0
bash, find, -1, 42.602844238281250000, 19.070739746093750000, 0.000000000000000000, 7.158935546875000000, 2850, 30.0, 0
bash, find, -1, 41.985290527343750000, 18.853759765625000000, 0.000732421875000000, 7.050354003906250000, 2808, 30.8, 0
bash, find, -1, 43.483276367187500000, 19.492492675781250000, 0.000000000000000000, 7.324951171875000000, 2910, 30.0, 0
bash, find, -1, 45.111572265625000000, 20.485900878906250000, 0.000000000000000000, 7.737854003906250000, 3016, 31.0, 0
bash, find, -1, 42.972839355468750000, 19.158264160156250000, 0.000000000000000000, 7.226989746093750000, 2877, 30.0, 0
bash, find, -1, 39.724792480468750000, 17.296020507812500000, 0.000000000000000000, 6.599670410156250000, 2657, 31.0, 0
