Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 663.906127929687500000, 303.087524414062500000, 0.000793457031250000, 108.345886230468750000, 44409, 32.8, 1672
C, sorters, -1, 669.364440917968750000, 304.849060058593750000, 0.000793457031250000, 109.223632812500000000, 44774, 32.8, 1644
C, sorters, -1, 667.869079589843750000, 304.037902832031250000, 0.000793457031250000, 108.995788574218750000, 44674, 32.5, 1748
C, sorters, -1, 671.327575683593750000, 305.682128906250000000, 0.000732421875000000, 109.530151367187500000, 44905, 33.2, 1724
C, sorters, -1, 679.088928222656250000, 309.541748046875000000, 0.000793457031250000, 110.865417480468750000, 45424, 32.2, 1740
C, sorters, -1, 691.255981445312500000, 314.519348144531250000, 0.000793457031250000, 112.817810058593750000, 46238, 32.8, 1664
C, sorters, -1, 679.317810058593750000, 309.359252929687500000, 0.000793457031250000, 110.835693359375000000, 45439, 32.2, 1640
C, sorters, -1, 668.053161621093750000, 303.384887695312500000, 0.000793457031250000, 109.007995605468750000, 44685, 33.2, 1740
C, sorters, -1, 669.621887207031250000, 304.553527832031250000, 0.000793457031250000, 109.243469238281250000, 44791, 32.5, 1748
C, sorters, -1, 664.697387695312500000, 302.507019042968750000, 0.000793457031250000, 108.471923828125000000, 44461, 32.8, 1664
