Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 146.890258789062500000, 75.768432617187500000, 0.000000000000000000, 18.808227539062500000, 7707, 30.5, 1588
C, sorters, -1, 146.379272460937500000, 75.371154785156250000, 0.000000000000000000, 18.786376953125000000, 7699, 31.0, 1744
C, sorters, -1, 147.260681152343750000, 75.823852539062500000, 0.000000000000000000, 18.744384765625000000, 7685, 30.8, 1636
C, sorters, -1, 145.938232421875000000, 75.200866699218750000, 0.000000000000000000, 18.784790039062500000, 7698, 32.0, 1720
C, sorters, -1, 145.845336914062500000, 75.145996093750000000, 0.000000000000000000, 18.745849609375000000, 7686, 32.0, 1692
C, sorters, -1, 148.216918945312500000, 76.539794921875000000, 0.000915527343750000, 18.806274414062500000, 7706, 32.5, 1640
C, sorters, -1, 146.291381835937500000, 75.355957031250000000, 0.000000000000000000, 18.729675292968750000, 7680, 33.2, 1736
C, sorters, -1, 149.774963378906250000, 77.325134277343750000, 0.000000000000000000, 18.780395507812500000, 7698, 34.0, 1744
C, sorters, -1, 147.955688476562500000, 76.247070312500000000, 0.000000000000000000, 18.725402832031250000, 7679, 33.5, 1672
C, sorters, -1, 147.621276855468750000, 76.222106933593750000, 0.000000000000000000, 18.826843261718750000, 7712, 33.2, 1640
