Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 37.590759277343750000, 16.094848632812500000, 0.000000000000000000, 6.135192871093750000, 2512, 28.0, 1688
C, sorters, -1, 36.746398925781250000, 15.598022460937500000, 0.000000000000000000, 5.997741699218750000, 2459, 27.8, 1796
C, sorters, -1, 37.411254882812500000, 15.957580566406250000, 0.000000000000000000, 6.116516113281250000, 2503, 29.0, 1768
C, sorters, -1, 36.954467773437500000, 15.780883789062500000, 0.000000000000000000, 6.034240722656250000, 2472, 29.8, 1792
C, sorters, -1, 37.362243652343750000, 15.915649414062500000, 0.000000000000000000, 6.103210449218750000, 2500, 28.8, 1764
C, sorters, -1, 37.034057617187500000, 15.738586425781250000, 0.000000000000000000, 6.045227050781250000, 2477, 28.8, 1816
C, sorters, -1, 36.954467773437500000, 15.728637695312500000, 0.000000000000000000, 6.032958984375000000, 2472, 28.8, 1796
C, sorters, -1, 36.805603027343750000, 15.738098144531250000, 0.000000000000000000, 6.009033203125000000, 2462, 29.0, 1912
C, sorters, -1, 37.817138671875000000, 16.160461425781250000, 0.000671386718750000, 6.186767578125000000, 2529, 29.5, 1800
C, sorters, -1, 38.438110351562500000, 16.450378417968750000, 0.000000000000000000, 6.284973144531250000, 2571, 29.8, 1816
