Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, fib, -1, 1289.568237304687500000, 411.504333496093750000, 0.001892089843750000, 294.489379882812500000, 120060, 31.0, 1556
C, fib, -1, 1527.620117187500000000, 499.733337402343750000, 0.001953125000000000, 345.961914062500000000, 140953, 31.0, 1620
C, fib, -1, 1595.299621582031250000, 522.090148925781250000, 0.002014160156250000, 358.139038085937500000, 146537, 31.2, 1516
C, fib, -1, 1335.049011230468750000, 438.066833496093750000, 0.001953125000000000, 296.433715820312500000, 121149, 30.8, 1568
C, fib, -1, 1290.911865234375000000, 423.666992187500000000, 0.002014160156250000, 288.322082519531250000, 117869, 31.0, 1516
C, fib, -1, 1256.246643066406250000, 401.572204589843750000, 0.001892089843750000, 286.053344726562500000, 116932, 30.5, 1556
C, fib, -1, 1199.182678222656250000, 341.444946289062500000, 0.001281738281250000, 290.545532226562500000, 118335, 30.8, 1604
C, fib, -1, 1325.973510742187500000, 417.851684570312500000, 0.001831054687500000, 305.486816406250000000, 124362, 30.8, 1652
C, fib, -1, 1330.506896972656250000, 436.314208984375000000, 0.002014160156250000, 297.975463867187500000, 121864, 30.8, 1672
C, fib, -1, 1594.661987304687500000, 522.378479003906250000, 0.002502441406250000, 357.650817871093750000, 146367, 30.8, 1608
