Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, fib, -1, 95.247070312500000000, 49.626831054687500000, 0.000000000000000000, 11.806884765625000000, 4843, 32.5, 1620
C, fib, -1, 95.411071777343750000, 49.596130371093750000, 0.000000000000000000, 11.828735351562500000, 4852, 32.2, 1604
C, fib, -1, 95.166992187500000000, 49.474670410156250000, 0.000000000000000000, 11.801269531250000000, 4842, 32.2, 1632
C, fib, -1, 95.405761718750000000, 49.697204589843750000, 0.000000000000000000, 11.813537597656250000, 4847, 33.5, 1604
C, fib, -1, 95.336120605468750000, 49.621826171875000000, 0.000000000000000000, 11.819274902343750000, 4849, 32.5, 1676
C, fib, -1, 95.854370117187500000, 50.186279296875000000, 0.000000000000000000, 11.819458007812500000, 4848, 34.0, 1580
C, fib, -1, 95.408203125000000000, 49.751403808593750000, 0.000000000000000000, 11.812683105468750000, 4845, 34.0, 1660
C, fib, -1, 96.090393066406250000, 50.339172363281250000, 0.000915527343750000, 11.837158203125000000, 4853, 33.8, 1672
C, fib, -1, 95.927734375000000000, 50.188110351562500000, 0.000000000000000000, 11.827392578125000000, 4850, 34.0, 1636
C, fib, -1, 96.198120117187500000, 50.487304687500000000, 0.000000000000000000, 11.840881347656250000, 4854, 34.5, 1592
