Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 0.202758789062500000, 0.112182617187500000, 0.000000000000000000, 0.024841308593750000, 9, 27.0, 1928
C, sorters, -1, 0.203308105468750000, 0.111022949218750000, 0.000000000000000000, 0.024780273437500000, 10, 27.0, 1888
C, sorters, -1, 0.206726074218750000, 0.113952636718750000, 0.000000000000000000, 0.024963378906250000, 10, 27.0, 1780
C, sorters, -1, 0.193542480468750000, 0.102844238281250000, 0.000000000000000000, 0.024597167968750000, 10, 27.0, 1924
C, sorters, -1, 0.198852539062500000, 0.106567382812500000, 0.000000000000000000, 0.027221679687500000, 10, 27.0, 1820
C, sorters, -1, 0.204650878906250000, 0.110168457031250000, 0.000000000000000000, 0.024719238281250000, 10, 27.0, 1820
C, sorters, -1, 0.198059082031250000, 0.107299804687500000, 0.000000000000000000, 0.024780273437500000, 9, 27.0, 1940
C, sorters, -1, 0.197753906250000000, 0.119140625000000000, 0.000000000000000000, 0.027221679687500000, 9, 27.0, 1832
C, sorters, -1, 0.199523925781250000, 0.110595703125000000, 0.000000000000000000, 0.024963378906250000, 9, 27.0, 1940
C, sorters, -1, 0.200317382812500000, 0.109252929687500000, 0.000000000000000000, 0.024841308593750000, 10, 27.0, 1884
