Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 16.272155761718750000, 6.825988769531250000, 0.000000000000000000, 2.665100097656250000, 1085, 27.8, 1768
C, sorters, -1, 16.193115234375000000, 6.779602050781250000, 0.000000000000000000, 2.655456542968750000, 1083, 28.0, 1848
C, sorters, -1, 14.686584472656250000, 5.967834472656250000, 0.000000000000000000, 2.408264160156250000, 984, 28.0, 1824
C, sorters, -1, 13.431884765625000000, 5.481811523437500000, 0.000000000000000000, 2.192260742187500000, 899, 28.8, 1744
C, sorters, -1, 13.493713378906250000, 5.513549804687500000, 0.000000000000000000, 2.203369140625000000, 903, 28.8, 1800
C, sorters, -1, 13.446166992187500000, 5.492431640625000000, 0.000000000000000000, 2.195312500000000000, 900, 28.5, 1824
C, sorters, -1, 13.390502929687500000, 5.491943359375000000, 0.000000000000000000, 2.184997558593750000, 896, 28.5, 1796
C, sorters, -1, 13.414916992187500000, 5.494384765625000000, 0.000000000000000000, 2.190063476562500000, 898, 28.5, 1792
C, sorters, -1, 13.717224121093750000, 5.657470703125000000, 0.000000000000000000, 2.245910644531250000, 918, 28.5, 1772
C, sorters, -1, 13.519897460937500000, 5.522949218750000000, 0.000000000000000000, 2.208190917968750000, 904, 27.8, 1748
