Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 343.465332031250000000, 144.169616699218750000, 0.000000000000000000, 56.008850097656250000, 22971, 30.2, 1672
C, sorters, -1, 341.133850097656250000, 143.221496582031250000, 0.000793457031250000, 55.645141601562500000, 22819, 31.0, 1792
C, sorters, -1, 342.021667480468750000, 144.032836914062500000, 0.000000000000000000, 55.790283203125000000, 22880, 31.5, 1808
C, sorters, -1, 342.066406250000000000, 143.220642089843750000, 0.000793457031250000, 55.796020507812500000, 22881, 31.5, 1948
C, sorters, -1, 343.346740722656250000, 143.516357421875000000, 0.000000000000000000, 55.995849609375000000, 22967, 31.8, 1760
C, sorters, -1, 344.895751953125000000, 143.829162597656250000, 0.000793457031250000, 56.259460449218750000, 23070, 31.5, 1944
C, sorters, -1, 345.953308105468750000, 144.080810546875000000, 0.000000000000000000, 56.458435058593750000, 23141, 31.8, 1656
C, sorters, -1, 344.153869628906250000, 143.157592773437500000, 0.000915527343750000, 56.135742187500000000, 23021, 32.0, 1712
C, sorters, -1, 345.420410156250000000, 143.959106445312500000, 0.000000000000000000, 56.369812011718750000, 23105, 32.2, 1816
C, sorters, -1, 350.912658691406250000, 146.541564941406250000, 0.000854492187500000, 57.337524414062500000, 23473, 32.5, 1792
