Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 0.253540039062500000, 0.125610351562500000, 0.000000000000000000, 0.040039062500000000, 14, 27.5, 1784
C, sorters, -1, 0.235473632812500000, 0.103759765625000000, 0.000000000000000000, 0.039672851562500000, 16, 27.5, 1688
C, sorters, -1, 0.248352050781250000, 0.101623535156250000, 0.000000000000000000, 0.044677734375000000, 18, 27.5, 1844
C, sorters, -1, 0.252868652343750000, 0.113708496093750000, 0.000000000000000000, 0.042724609375000000, 17, 27.5, 1736
C, sorters, -1, 0.246215820312500000, 0.107543945312500000, 0.000000000000000000, 0.041931152343750000, 16, 27.5, 1844
C, sorters, -1, 0.250732421875000000, 0.112060546875000000, 0.000000000000000000, 0.041809082031250000, 16, 27.5, 1840
C, sorters, -1, 0.337524414062500000, 0.169250488281250000, 0.000000000000000000, 0.053283691406250000, 20, 27.5, 1788
C, sorters, -1, 0.326965332031250000, 0.154418945312500000, 0.000000000000000000, 0.054321289062500000, 21, 27.5, 1720
C, sorters, -1, 0.251770019531250000, 0.101623535156250000, 0.000000000000000000, 0.047546386718750000, 18, 27.5, 1844
C, sorters, -1, 0.247863769531250000, 0.109802246093750000, 0.000000000000000000, 0.039367675781250000, 16, 27.5, 1724
