Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 0.627990722656250000, 0.291564941406250000, 0.000000000000000000, 0.098144531250000000, 39, 25.8, 1816
C, sorters, -1, 0.622375488281250000, 0.273681640625000000, 0.000000000000000000, 0.103210449218750000, 41, 25.8, 1916
C, sorters, -1, 0.677490234375000000, 0.306640625000000000, 0.000000000000000000, 0.112670898437500000, 44, 25.8, 1900
C, sorters, -1, 0.677856445312500000, 0.313171386718750000, 0.000000000000000000, 0.109191894531250000, 44, 25.8, 1692
C, sorters, -1, 0.835876464843750000, 0.404968261718750000, 0.000000000000000000, 0.140319824218750000, 56, 25.8, 1768
C, sorters, -1, 0.710144042968750000, 0.312622070312500000, 0.000000000000000000, 0.123474121093750000, 50, 25.8, 1840
C, sorters, -1, 0.639160156250000000, 0.281494140625000000, 0.000000000000000000, 0.106262207031250000, 42, 25.8, 1836
C, sorters, -1, 0.622131347656250000, 0.274963378906250000, 0.000000000000000000, 0.103515625000000000, 42, 25.8, 1828
C, sorters, -1, 0.622131347656250000, 0.271301269531250000, 0.000000000000000000, 0.103332519531250000, 42, 25.8, 1784
C, sorters, -1, 0.636413574218750000, 0.276184082031250000, 0.000000000000000000, 0.102844238281250000, 42, 25.8, 1912
