Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 0.847229003906250000, 0.408569335937500000, 0.000000000000000000, 0.135437011718750000, 54, 27.5, 1720
C, sorters, -1, 0.835876464843750000, 0.391418457031250000, 0.000000000000000000, 0.137329101562500000, 55, 27.5, 1644
C, sorters, -1, 0.835021972656250000, 0.390014648437500000, 0.000000000000000000, 0.137878417968750000, 56, 27.5, 1636
C, sorters, -1, 0.821716308593750000, 0.385375976562500000, 0.000000000000000000, 0.134887695312500000, 55, 28.5, 1740
C, sorters, -1, 0.867187500000000000, 0.400024414062500000, 0.000000000000000000, 0.139465332031250000, 57, 28.5, 1644
C, sorters, -1, 0.868896484375000000, 0.407287597656250000, 0.000000000000000000, 0.142333984375000000, 57, 28.5, 1728
C, sorters, -1, 0.837097167968750000, 0.391357421875000000, 0.000000000000000000, 0.137145996093750000, 56, 28.5, 1676
C, sorters, -1, 0.836730957031250000, 0.392517089843750000, 0.000000000000000000, 0.137084960937500000, 56, 28.5, 1744
C, sorters, -1, 0.837951660156250000, 0.393005371093750000, 0.000000000000000000, 0.137207031250000000, 56, 28.5, 1748
C, sorters, -1, 0.882690429687500000, 0.421813964843750000, 0.000000000000000000, 0.142883300781250000, 57, 28.5, 1584
